id,polygon,income,household_size,vehicles,number_of_workers
206,"POLYGON ((-9235945.627213461 4857450.361433578, -9235965.627213461 4857470.361433578, -9235985.627213461 4857450.361433578, -9235945.627213461 4857450.361433578, -9235985.627213461 4857450.361433578, -9235985.627213461 4857420.361433578, -9235970.627213461 4857420.361433578, -9235970.627213461 4857435.361433578, -9235960.627213461 4857435.361433578, -9235960.627213461 4857420.361433578, -9235970.627213461 4857420.361433578, -9235945.627213461 4857420.361433578, -9235945.627213461 4857450.361433578))",85000,3,1,1
207,"POLYGON ((-9235953.711007442 4857501.523204466, -9235973.711007442 4857521.523204466, -9235993.711007442 4857501.523204466, -9235953.711007442 4857501.523204466, -9235993.711007442 4857501.523204466, -9235993.711007442 4857471.523204466, -9235978.711007442 4857471.523204466, -9235978.711007442 4857486.523204466, -9235968.711007442 4857486.523204466, -9235968.711007442 4857471.523204466, -9235978.711007442 4857471.523204466, -9235953.711007442 4857471.523204466, -9235953.711007442 4857501.523204466))",25000,1,1,0
208,"POLYGON ((-9235945.41577557 4857618.574286537, -9235965.41577557 4857638.574286537, -9235985.41577557 4857618.574286537, -9235945.41577557 4857618.574286537, -9235985.41577557 4857618.574286537, -9235985.41577557 4857588.574286537, -9235970.41577557 4857588.574286537, -9235970.41577557 4857603.574286537, -9235960.41577557 4857603.574286537, -9235960.41577557 4857588.574286537, -9235970.41577557 4857588.574286537, -9235945.41577557 4857588.574286537, -9235945.41577557 4857618.574286537))",86000,4,2,1
209,"POLYGON ((-9235911.010986926 4857548.22553145, -9235931.010986926 4857568.22553145, -9235951.010986926 4857548.22553145, -9235911.010986926 4857548.22553145, -9235951.010986926 4857548.22553145, -9235951.010986926 4857518.22553145, -9235936.010986926 4857518.22553145, -9235936.010986926 4857533.22553145, -9235926.010986926 4857533.22553145, -9235926.010986926 4857518.22553145, -9235936.010986926 4857518.22553145, -9235911.010986926 4857518.22553145, -9235911.010986926 4857548.22553145))",100000,2,2,2
210,"POLYGON ((-9235951.429665538 4857558.126477254, -9235971.429665538 4857578.126477254, -9235991.429665538 4857558.126477254, -9235951.429665538 4857558.126477254, -9235991.429665538 4857558.126477254, -9235991.429665538 4857528.126477254, -9235976.429665538 4857528.126477254, -9235976.429665538 4857543.126477254, -9235966.429665538 4857543.126477254, -9235966.429665538 4857528.126477254, -9235976.429665538 4857528.126477254, -9235951.429665538 4857528.126477254, -9235951.429665538 4857558.126477254))",46000,4,1,1
211,"POLYGON ((-9235937.420925455 4857377.755711423, -9235957.420925455 4857397.755711423, -9235977.420925455 4857377.755711423, -9235937.420925455 4857377.755711423, -9235977.420925455 4857377.755711423, -9235977.420925455 4857347.755711423, -9235962.420925455 4857347.755711423, -9235962.420925455 4857362.755711423, -9235952.420925455 4857362.755711423, -9235952.420925455 4857347.755711423, -9235962.420925455 4857347.755711423, -9235937.420925455 4857347.755711423, -9235937.420925455 4857377.755711423))",20000,1,1,1
212,"POLYGON ((-9235896.04621767 4857385.616381109, -9235916.04621767 4857405.616381109, -9235936.04621767 4857385.616381109, -9235896.04621767 4857385.616381109, -9235936.04621767 4857385.616381109, -9235936.04621767 4857355.616381109, -9235921.04621767 4857355.616381109, -9235921.04621767 4857370.616381109, -9235911.04621767 4857370.616381109, -9235911.04621767 4857355.616381109, -9235921.04621767 4857355.616381109, -9235896.04621767 4857355.616381109, -9235896.04621767 4857385.616381109))",24000,4,1,3
213,"POLYGON ((-9235953.594365556 4857323.742405789, -9235973.594365556 4857343.742405789, -9235993.594365556 4857323.742405789, -9235953.594365556 4857323.742405789, -9235993.594365556 4857323.742405789, -9235993.594365556 4857293.742405789, -9235978.594365556 4857293.742405789, -9235978.594365556 4857308.742405789, -9235968.594365556 4857308.742405789, -9235968.594365556 4857293.742405789, -9235978.594365556 4857293.742405789, -9235953.594365556 4857293.742405789, -9235953.594365556 4857323.742405789))",97000,2,2,2
214,"POLYGON ((-9236128.548079291 4857630.727212619, -9236148.548079291 4857650.727212619, -9236168.548079291 4857630.727212619, -9236128.548079291 4857630.727212619, -9236168.548079291 4857630.727212619, -9236168.548079291 4857600.727212619, -9236153.548079291 4857600.727212619, -9236153.548079291 4857615.727212619, -9236143.548079291 4857615.727212619, -9236143.548079291 4857600.727212619, -9236153.548079291 4857600.727212619, -9236128.548079291 4857600.727212619, -9236128.548079291 4857630.727212619))",59000,3,1,1
215,"POLYGON ((-9236184.085417967 4857606.877295856, -9236204.085417967 4857626.877295856, -9236224.085417967 4857606.877295856, -9236184.085417967 4857606.877295856, -9236224.085417967 4857606.877295856, -9236224.085417967 4857576.877295856, -9236209.085417967 4857576.877295856, -9236209.085417967 4857591.877295856, -9236199.085417967 4857591.877295856, -9236199.085417967 4857576.877295856, -9236209.085417967 4857576.877295856, -9236184.085417967 4857576.877295856, -9236184.085417967 4857606.877295856))",63000,1,1,1
216,"POLYGON ((-9236203.673335772 4857665.183831353, -9236223.673335772 4857685.183831353, -9236243.673335772 4857665.183831353, -9236203.673335772 4857665.183831353, -9236243.673335772 4857665.183831353, -9236243.673335772 4857635.183831353, -9236228.673335772 4857635.183831353, -9236228.673335772 4857650.183831353, -9236218.673335772 4857650.183831353, -9236218.673335772 4857635.183831353, -9236228.673335772 4857635.183831353, -9236203.673335772 4857635.183831353, -9236203.673335772 4857665.183831353))",59000,4,1,1
217,"POLYGON ((-9236191.752981063 4857358.405510801, -9236211.752981063 4857378.405510801, -9236231.752981063 4857358.405510801, -9236191.752981063 4857358.405510801, -9236231.752981063 4857358.405510801, -9236231.752981063 4857328.405510801, -9236216.752981063 4857328.405510801, -9236216.752981063 4857343.405510801, -9236206.752981063 4857343.405510801, -9236206.752981063 4857328.405510801, -9236216.752981063 4857328.405510801, -9236191.752981063 4857328.405510801, -9236191.752981063 4857358.405510801))",75000,4,1,2
218,"POLYGON ((-9236267.133388722 4857347.584450796, -9236287.133388722 4857367.584450796, -9236307.133388722 4857347.584450796, -9236267.133388722 4857347.584450796, -9236307.133388722 4857347.584450796, -9236307.133388722 4857317.584450796, -9236292.133388722 4857317.584450796, -9236292.133388722 4857332.584450796, -9236282.133388722 4857332.584450796, -9236282.133388722 4857317.584450796, -9236292.133388722 4857317.584450796, -9236267.133388722 4857317.584450796, -9236267.133388722 4857347.584450796))",10000,3,2,1
219,"POLYGON ((-9236218.98758704 4857402.004368458, -9236238.98758704 4857422.004368458, -9236258.98758704 4857402.004368458, -9236218.98758704 4857402.004368458, -9236258.98758704 4857402.004368458, -9236258.98758704 4857372.004368458, -9236243.98758704 4857372.004368458, -9236243.98758704 4857387.004368458, -9236233.98758704 4857387.004368458, -9236233.98758704 4857372.004368458, -9236243.98758704 4857372.004368458, -9236218.98758704 4857372.004368458, -9236218.98758704 4857402.004368458))",58000,1,1,0
220,"POLYGON ((-9236196.792269347 4857233.351872525, -9236216.792269347 4857253.351872525, -9236236.792269347 4857233.351872525, -9236196.792269347 4857233.351872525, -9236236.792269347 4857233.351872525, -9236236.792269347 4857203.351872525, -9236221.792269347 4857203.351872525, -9236221.792269347 4857218.351872525, -9236211.792269347 4857218.351872525, -9236211.792269347 4857203.351872525, -9236221.792269347 4857203.351872525, -9236196.792269347 4857203.351872525, -9236196.792269347 4857233.351872525))",76000,4,1,2
221,"POLYGON ((-9236225.228286512 4857188.53532404, -9236245.228286512 4857208.53532404, -9236265.228286512 4857188.53532404, -9236225.228286512 4857188.53532404, -9236265.228286512 4857188.53532404, -9236265.228286512 4857158.53532404, -9236250.228286512 4857158.53532404, -9236250.228286512 4857173.53532404, -9236240.228286512 4857173.53532404, -9236240.228286512 4857158.53532404, -9236250.228286512 4857158.53532404, -9236225.228286512 4857158.53532404, -9236225.228286512 4857188.53532404))",15000,2,0,1
222,"POLYGON ((-9236275.84365287 4857247.539750093, -9236295.84365287 4857267.539750093, -9236315.84365287 4857247.539750093, -9236275.84365287 4857247.539750093, -9236315.84365287 4857247.539750093, -9236315.84365287 4857217.539750093, -9236300.84365287 4857217.539750093, -9236300.84365287 4857232.539750093, -9236290.84365287 4857232.539750093, -9236290.84365287 4857217.539750093, -9236300.84365287 4857217.539750093, -9236275.84365287 4857217.539750093, -9236275.84365287 4857247.539750093))",11000,4,1,1
223,"POLYGON ((-9236072.449173605 4857250.4237717, -9236092.449173605 4857270.4237717, -9236112.449173605 4857250.4237717, -9236072.449173605 4857250.4237717, -9236112.449173605 4857250.4237717, -9236112.449173605 4857220.4237717, -9236097.449173605 4857220.4237717, -9236097.449173605 4857235.4237717, -9236087.449173605 4857235.4237717, -9236087.449173605 4857220.4237717, -9236097.449173605 4857220.4237717, -9236072.449173605 4857220.4237717, -9236072.449173605 4857250.4237717))",10000,4,0,1
224,"POLYGON ((-9236130.863661004 4857280.154083809, -9236150.863661004 4857300.154083809, -9236170.863661004 4857280.154083809, -9236130.863661004 4857280.154083809, -9236170.863661004 4857280.154083809, -9236170.863661004 4857250.154083809, -9236155.863661004 4857250.154083809, -9236155.863661004 4857265.154083809, -9236145.863661004 4857265.154083809, -9236145.863661004 4857250.154083809, -9236155.863661004 4857250.154083809, -9236130.863661004 4857250.154083809, -9236130.863661004 4857280.154083809))",21000,4,1,1
225,"POLYGON ((-9236131.964222819 4857207.76725639, -9236151.964222819 4857227.76725639, -9236171.964222819 4857207.76725639, -9236131.964222819 4857207.76725639, -9236171.964222819 4857207.76725639, -9236171.964222819 4857177.76725639, -9236156.964222819 4857177.76725639, -9236156.964222819 4857192.76725639, -9236146.964222819 4857192.76725639, -9236146.964222819 4857177.76725639, -9236156.964222819 4857177.76725639, -9236131.964222819 4857177.76725639, -9236131.964222819 4857207.76725639))",103000,1,1,1
226,"POLYGON ((-9235906.58628081 4857322.2215187885, -9235926.58628081 4857342.2215187885, -9235946.58628081 4857322.2215187885, -9235906.58628081 4857322.2215187885, -9235946.58628081 4857322.2215187885, -9235946.58628081 4857292.2215187885, -9235931.58628081 4857292.2215187885, -9235931.58628081 4857307.2215187885, -9235921.58628081 4857307.2215187885, -9235921.58628081 4857292.2215187885, -9235931.58628081 4857292.2215187885, -9235906.58628081 4857292.2215187885, -9235906.58628081 4857322.2215187885))",69000,3,2,0
227,"POLYGON ((-9235912.491615474 4857208.774582581, -9235932.491615474 4857228.774582581, -9235952.491615474 4857208.774582581, -9235912.491615474 4857208.774582581, -9235952.491615474 4857208.774582581, -9235952.491615474 4857178.774582581, -9235937.491615474 4857178.774582581, -9235937.491615474 4857193.774582581, -9235927.491615474 4857193.774582581, -9235927.491615474 4857178.774582581, -9235937.491615474 4857178.774582581, -9235912.491615474 4857178.774582581, -9235912.491615474 4857208.774582581))",98000,1,1,1
228,"POLYGON ((-9235923.435947234 4857271.591146662, -9235943.435947234 4857291.591146662, -9235963.435947234 4857271.591146662, -9235923.435947234 4857271.591146662, -9235963.435947234 4857271.591146662, -9235963.435947234 4857241.591146662, -9235948.435947234 4857241.591146662, -9235948.435947234 4857256.591146662, -9235938.435947234 4857256.591146662, -9235938.435947234 4857241.591146662, -9235948.435947234 4857241.591146662, -9235923.435947234 4857241.591146662, -9235923.435947234 4857271.591146662))",50000,3,2,2
229,"POLYGON ((-9235899.339341672 4857443.223888345, -9235919.339341672 4857463.223888345, -9235939.339341672 4857443.223888345, -9235899.339341672 4857443.223888345, -9235939.339341672 4857443.223888345, -9235939.339341672 4857413.223888345, -9235924.339341672 4857413.223888345, -9235924.339341672 4857428.223888345, -9235914.339341672 4857428.223888345, -9235914.339341672 4857413.223888345, -9235924.339341672 4857413.223888345, -9235899.339341672 4857413.223888345, -9235899.339341672 4857443.223888345))",11000,1,1,0
230,"POLYGON ((-9235610.074750978 4857346.101673974, -9235630.074750978 4857366.101673974, -9235650.074750978 4857346.101673974, -9235610.074750978 4857346.101673974, -9235650.074750978 4857346.101673974, -9235650.074750978 4857316.101673974, -9235635.074750978 4857316.101673974, -9235635.074750978 4857331.101673974, -9235625.074750978 4857331.101673974, -9235625.074750978 4857316.101673974, -9235635.074750978 4857316.101673974, -9235610.074750978 4857316.101673974, -9235610.074750978 4857346.101673974))",51000,4,1,1
231,"POLYGON ((-9235596.912954308 4857578.068991399, -9235616.912954308 4857598.068991399, -9235636.912954308 4857578.068991399, -9235596.912954308 4857578.068991399, -9235636.912954308 4857578.068991399, -9235636.912954308 4857548.068991399, -9235621.912954308 4857548.068991399, -9235621.912954308 4857563.068991399, -9235611.912954308 4857563.068991399, -9235611.912954308 4857548.068991399, -9235621.912954308 4857548.068991399, -9235596.912954308 4857548.068991399, -9235596.912954308 4857578.068991399))",27000,1,0,0
232,"POLYGON ((-9235629.149930915 4857414.869566457, -9235649.149930915 4857434.869566457, -9235669.149930915 4857414.869566457, -9235629.149930915 4857414.869566457, -9235669.149930915 4857414.869566457, -9235669.149930915 4857384.869566457, -9235654.149930915 4857384.869566457, -9235654.149930915 4857399.869566457, -9235644.149930915 4857399.869566457, -9235644.149930915 4857384.869566457, -9235654.149930915 4857384.869566457, -9235629.149930915 4857384.869566457, -9235629.149930915 4857414.869566457))",80000,1,2,0
233,"POLYGON ((-9235608.127620125 4857519.950665695, -9235628.127620125 4857539.950665695, -9235648.127620125 4857519.950665695, -9235608.127620125 4857519.950665695, -9235648.127620125 4857519.950665695, -9235648.127620125 4857489.950665695, -9235633.127620125 4857489.950665695, -9235633.127620125 4857504.950665695, -9235623.127620125 4857504.950665695, -9235623.127620125 4857489.950665695, -9235633.127620125 4857489.950665695, -9235608.127620125 4857489.950665695, -9235608.127620125 4857519.950665695))",30000,3,1,1
234,"POLYGON ((-9235597.636144683 4857469.13668233, -9235617.636144683 4857489.13668233, -9235637.636144683 4857469.13668233, -9235597.636144683 4857469.13668233, -9235637.636144683 4857469.13668233, -9235637.636144683 4857439.13668233, -9235622.636144683 4857439.13668233, -9235622.636144683 4857454.13668233, -9235612.636144683 4857454.13668233, -9235612.636144683 4857439.13668233, -9235622.636144683 4857439.13668233, -9235597.636144683 4857439.13668233, -9235597.636144683 4857469.13668233))",85000,2,1,1
235,"POLYGON ((-9235582.490130853 4857397.50342633, -9235602.490130853 4857417.50342633, -9235622.490130853 4857397.50342633, -9235582.490130853 4857397.50342633, -9235622.490130853 4857397.50342633, -9235622.490130853 4857367.50342633, -9235607.490130853 4857367.50342633, -9235607.490130853 4857382.50342633, -9235597.490130853 4857382.50342633, -9235597.490130853 4857367.50342633, -9235607.490130853 4857367.50342633, -9235582.490130853 4857367.50342633, -9235582.490130853 4857397.50342633))",27000,3,1,2
236,"POLYGON ((-9235530.851095492 4857299.700117171, -9235550.851095492 4857319.700117171, -9235570.851095492 4857299.700117171, -9235530.851095492 4857299.700117171, -9235570.851095492 4857299.700117171, -9235570.851095492 4857269.700117171, -9235555.851095492 4857269.700117171, -9235555.851095492 4857284.700117171, -9235545.851095492 4857284.700117171, -9235545.851095492 4857269.700117171, -9235555.851095492 4857269.700117171, -9235530.851095492 4857269.700117171, -9235530.851095492 4857299.700117171))",86000,1,1,0
237,"POLYGON ((-9235990.882371755 4856294.013842261, -9236010.882371755 4856314.013842261, -9236030.882371755 4856294.013842261, -9235990.882371755 4856294.013842261, -9236030.882371755 4856294.013842261, -9236030.882371755 4856264.013842261, -9236015.882371755 4856264.013842261, -9236015.882371755 4856279.013842261, -9236005.882371755 4856279.013842261, -9236005.882371755 4856264.013842261, -9236015.882371755 4856264.013842261, -9235990.882371755 4856264.013842261, -9235990.882371755 4856294.013842261))",11000,3,1,2
238,"POLYGON ((-9236024.78058354 4856357.348813493, -9236044.78058354 4856377.348813493, -9236064.78058354 4856357.348813493, -9236024.78058354 4856357.348813493, -9236064.78058354 4856357.348813493, -9236064.78058354 4856327.348813493, -9236049.78058354 4856327.348813493, -9236049.78058354 4856342.348813493, -9236039.78058354 4856342.348813493, -9236039.78058354 4856327.348813493, -9236049.78058354 4856327.348813493, -9236024.78058354 4856327.348813493, -9236024.78058354 4856357.348813493))",62000,4,0,0
239,"POLYGON ((-9236012.30890919 4856437.175184988, -9236032.30890919 4856457.175184988, -9236052.30890919 4856437.175184988, -9236012.30890919 4856437.175184988, -9236052.30890919 4856437.175184988, -9236052.30890919 4856407.175184988, -9236037.30890919 4856407.175184988, -9236037.30890919 4856422.175184988, -9236027.30890919 4856422.175184988, -9236027.30890919 4856407.175184988, -9236037.30890919 4856407.175184988, -9236012.30890919 4856407.175184988, -9236012.30890919 4856437.175184988))",68000,3,1,2
240,"POLYGON ((-9236011.389477015 4856502.110519005, -9236031.389477015 4856522.110519005, -9236051.389477015 4856502.110519005, -9236011.389477015 4856502.110519005, -9236051.389477015 4856502.110519005, -9236051.389477015 4856472.110519005, -9236036.389477015 4856472.110519005, -9236036.389477015 4856487.110519005, -9236026.389477015 4856487.110519005, -9236026.389477015 4856472.110519005, -9236036.389477015 4856472.110519005, -9236011.389477015 4856472.110519005, -9236011.389477015 4856502.110519005))",30000,4,0,1
241,"POLYGON ((-9236088.422222225 4857708.2632675, -9236108.422222225 4857728.2632675, -9236128.422222225 4857708.2632675, -9236088.422222225 4857708.2632675, -9236128.422222225 4857708.2632675, -9236128.422222225 4857678.2632675, -9236113.422222225 4857678.2632675, -9236113.422222225 4857693.2632675, -9236103.422222225 4857693.2632675, -9236103.422222225 4857678.2632675, -9236113.422222225 4857678.2632675, -9236088.422222225 4857678.2632675, -9236088.422222225 4857708.2632675))",10000,1,1,1
242,"POLYGON ((-9236078.635159738 4857767.6760851275, -9236098.635159738 4857787.6760851275, -9236118.635159738 4857767.6760851275, -9236078.635159738 4857767.6760851275, -9236118.635159738 4857767.6760851275, -9236118.635159738 4857737.6760851275, -9236103.635159738 4857737.6760851275, -9236103.635159738 4857752.6760851275, -9236093.635159738 4857752.6760851275, -9236093.635159738 4857737.6760851275, -9236103.635159738 4857737.6760851275, -9236078.635159738 4857737.6760851275, -9236078.635159738 4857767.6760851275))",29000,4,1,1
243,"POLYGON ((-9236108.703283602 4857812.275722032, -9236128.703283602 4857832.275722032, -9236148.703283602 4857812.275722032, -9236108.703283602 4857812.275722032, -9236148.703283602 4857812.275722032, -9236148.703283602 4857782.275722032, -9236133.703283602 4857782.275722032, -9236133.703283602 4857797.275722032, -9236123.703283602 4857797.275722032, -9236123.703283602 4857782.275722032, -9236133.703283602 4857782.275722032, -9236108.703283602 4857782.275722032, -9236108.703283602 4857812.275722032))",29000,2,1,1
244,"POLYGON ((-9236062.511438217 4857859.837222582, -9236082.511438217 4857879.837222582, -9236102.511438217 4857859.837222582, -9236062.511438217 4857859.837222582, -9236102.511438217 4857859.837222582, -9236102.511438217 4857829.837222582, -9236087.511438217 4857829.837222582, -9236087.511438217 4857844.837222582, -9236077.511438217 4857844.837222582, -9236077.511438217 4857829.837222582, -9236087.511438217 4857829.837222582, -9236062.511438217 4857829.837222582, -9236062.511438217 4857859.837222582))",47000,4,2,0
245,"POLYGON ((-9235897.938013185 4857768.753418953, -9235917.938013185 4857788.753418953, -9235937.938013185 4857768.753418953, -9235897.938013185 4857768.753418953, -9235937.938013185 4857768.753418953, -9235937.938013185 4857738.753418953, -9235922.938013185 4857738.753418953, -9235922.938013185 4857753.753418953, -9235912.938013185 4857753.753418953, -9235912.938013185 4857738.753418953, -9235922.938013185 4857738.753418953, -9235897.938013185 4857738.753418953, -9235897.938013185 4857768.753418953))",56000,1,2,1
246,"POLYGON ((-9235878.05836623 4857863.8713692855, -9235898.05836623 4857883.8713692855, -9235918.05836623 4857863.8713692855, -9235878.05836623 4857863.8713692855, -9235918.05836623 4857863.8713692855, -9235918.05836623 4857833.8713692855, -9235903.05836623 4857833.8713692855, -9235903.05836623 4857848.8713692855, -9235893.05836623 4857848.8713692855, -9235893.05836623 4857833.8713692855, -9235903.05836623 4857833.8713692855, -9235878.05836623 4857833.8713692855, -9235878.05836623 4857863.8713692855))",36000,3,1,1
247,"POLYGON ((-9235932.604597561 4857878.953184961, -9235952.604597561 4857898.953184961, -9235972.604597561 4857878.953184961, -9235932.604597561 4857878.953184961, -9235972.604597561 4857878.953184961, -9235972.604597561 4857848.953184961, -9235957.604597561 4857848.953184961, -9235957.604597561 4857863.953184961, -9235947.604597561 4857863.953184961, -9235947.604597561 4857848.953184961, -9235957.604597561 4857848.953184961, -9235932.604597561 4857848.953184961, -9235932.604597561 4857878.953184961))",24000,3,1,1
248,"POLYGON ((-9235571.783335036 4857674.694550111, -9235591.783335036 4857694.694550111, -9235611.783335036 4857674.694550111, -9235571.783335036 4857674.694550111, -9235611.783335036 4857674.694550111, -9235611.783335036 4857644.694550111, -9235596.783335036 4857644.694550111, -9235596.783335036 4857659.694550111, -9235586.783335036 4857659.694550111, -9235586.783335036 4857644.694550111, -9235596.783335036 4857644.694550111, -9235571.783335036 4857644.694550111, -9235571.783335036 4857674.694550111))",24000,3,1,1
249,"POLYGON ((-9235583.611464772 4857747.957484897, -9235603.611464772 4857767.957484897, -9235623.611464772 4857747.957484897, -9235583.611464772 4857747.957484897, -9235623.611464772 4857747.957484897, -9235623.611464772 4857717.957484897, -9235608.611464772 4857717.957484897, -9235608.611464772 4857732.957484897, -9235598.611464772 4857732.957484897, -9235598.611464772 4857717.957484897, -9235608.611464772 4857717.957484897, -9235583.611464772 4857717.957484897, -9235583.611464772 4857747.957484897))",39000,3,2,2
250,"POLYGON ((-9235611.429563744 4857793.436650533, -9235631.429563744 4857813.436650533, -9235651.429563744 4857793.436650533, -9235611.429563744 4857793.436650533, -9235651.429563744 4857793.436650533, -9235651.429563744 4857763.436650533, -9235636.429563744 4857763.436650533, -9235636.429563744 4857778.436650533, -9235626.429563744 4857778.436650533, -9235626.429563744 4857763.436650533, -9235636.429563744 4857763.436650533, -9235611.429563744 4857763.436650533, -9235611.429563744 4857793.436650533))",91000,2,1,1
251,"POLYGON ((-9235568.561360013 4857812.809921713, -9235588.561360013 4857832.809921713, -9235608.561360013 4857812.809921713, -9235568.561360013 4857812.809921713, -9235608.561360013 4857812.809921713, -9235608.561360013 4857782.809921713, -9235593.561360013 4857782.809921713, -9235593.561360013 4857797.809921713, -9235583.561360013 4857797.809921713, -9235583.561360013 4857782.809921713, -9235593.561360013 4857782.809921713, -9235568.561360013 4857782.809921713, -9235568.561360013 4857812.809921713))",30000,1,1,1
252,"POLYGON ((-9235926.792003857 4857810.727890476, -9235946.792003857 4857830.727890476, -9235966.792003857 4857810.727890476, -9235926.792003857 4857810.727890476, -9235966.792003857 4857810.727890476, -9235966.792003857 4857780.727890476, -9235951.792003857 4857780.727890476, -9235951.792003857 4857795.727890476, -9235941.792003857 4857795.727890476, -9235941.792003857 4857780.727890476, -9235951.792003857 4857780.727890476, -9235926.792003857 4857780.727890476, -9235926.792003857 4857810.727890476))",75000,2,2,0
253,"POLYGON ((-9235938.67850327 4857758.454228461, -9235958.67850327 4857778.454228461, -9235978.67850327 4857758.454228461, -9235938.67850327 4857758.454228461, -9235978.67850327 4857758.454228461, -9235978.67850327 4857728.454228461, -9235963.67850327 4857728.454228461, -9235963.67850327 4857743.454228461, -9235953.67850327 4857743.454228461, -9235953.67850327 4857728.454228461, -9235963.67850327 4857728.454228461, -9235938.67850327 4857728.454228461, -9235938.67850327 4857758.454228461))",29000,4,1,2
254,"POLYGON ((-9235894.943213938 4857636.970718689, -9235914.943213938 4857656.970718689, -9235934.943213938 4857636.970718689, -9235894.943213938 4857636.970718689, -9235934.943213938 4857636.970718689, -9235934.943213938 4857606.970718689, -9235919.943213938 4857606.970718689, -9235919.943213938 4857621.970718689, -9235909.943213938 4857621.970718689, -9235909.943213938 4857606.970718689, -9235919.943213938 4857606.970718689, -9235894.943213938 4857606.970718689, -9235894.943213938 4857636.970718689))",65000,2,3,0
255,"POLYGON ((-9235933.096249763 4857691.515014349, -9235953.096249763 4857711.515014349, -9235973.096249763 4857691.515014349, -9235933.096249763 4857691.515014349, -9235973.096249763 4857691.515014349, -9235973.096249763 4857661.515014349, -9235958.096249763 4857661.515014349, -9235958.096249763 4857676.515014349, -9235948.096249763 4857676.515014349, -9235948.096249763 4857661.515014349, -9235958.096249763 4857661.515014349, -9235933.096249763 4857661.515014349, -9235933.096249763 4857691.515014349))",25000,3,1,1
256,"POLYGON ((-9235986.595971823 4857641.480855116, -9236006.595971823 4857661.480855116, -9236026.595971823 4857641.480855116, -9235986.595971823 4857641.480855116, -9236026.595971823 4857641.480855116, -9236026.595971823 4857611.480855116, -9236011.595971823 4857611.480855116, -9236011.595971823 4857626.480855116, -9236001.595971823 4857626.480855116, -9236001.595971823 4857611.480855116, -9236011.595971823 4857611.480855116, -9235986.595971823 4857611.480855116, -9235986.595971823 4857641.480855116))",51000,1,1,1
257,"POLYGON ((-9235929.157231629 4857099.247532001, -9235949.157231629 4857119.247532001, -9235969.157231629 4857099.247532001, -9235929.157231629 4857099.247532001, -9235969.157231629 4857099.247532001, -9235969.157231629 4857069.247532001, -9235954.157231629 4857069.247532001, -9235954.157231629 4857084.247532001, -9235944.157231629 4857084.247532001, -9235944.157231629 4857069.247532001, -9235954.157231629 4857069.247532001, -9235929.157231629 4857069.247532001, -9235929.157231629 4857099.247532001))",99000,1,0,0
258,"POLYGON ((-9235921.571546404 4857154.547450277, -9235941.571546404 4857174.547450277, -9235961.571546404 4857154.547450277, -9235921.571546404 4857154.547450277, -9235961.571546404 4857154.547450277, -9235961.571546404 4857124.547450277, -9235946.571546404 4857124.547450277, -9235946.571546404 4857139.547450277, -9235936.571546404 4857139.547450277, -9235936.571546404 4857124.547450277, -9235946.571546404 4857124.547450277, -9235921.571546404 4857124.547450277, -9235921.571546404 4857154.547450277))",122000,4,1,2
259,"POLYGON ((-9235963.950949037 4857266.005263622, -9235983.950949037 4857286.005263622, -9236003.950949037 4857266.005263622, -9235963.950949037 4857266.005263622, -9236003.950949037 4857266.005263622, -9236003.950949037 4857236.005263622, -9235988.950949037 4857236.005263622, -9235988.950949037 4857251.005263622, -9235978.950949037 4857251.005263622, -9235978.950949037 4857236.005263622, -9235988.950949037 4857236.005263622, -9235963.950949037 4857236.005263622, -9235963.950949037 4857266.005263622))",35000,1,1,1
260,"POLYGON ((-9235951.726628782 4856499.057349675, -9235971.726628782 4856519.057349675, -9235991.726628782 4856499.057349675, -9235951.726628782 4856499.057349675, -9235991.726628782 4856499.057349675, -9235991.726628782 4856469.057349675, -9235976.726628782 4856469.057349675, -9235976.726628782 4856484.057349675, -9235966.726628782 4856484.057349675, -9235966.726628782 4856469.057349675, -9235976.726628782 4856469.057349675, -9235951.726628782 4856469.057349675, -9235951.726628782 4856499.057349675))",75000,2,0,1
261,"POLYGON ((-9235980.46242035 4856374.993681337, -9236000.46242035 4856394.993681337, -9236020.46242035 4856374.993681337, -9235980.46242035 4856374.993681337, -9236020.46242035 4856374.993681337, -9236020.46242035 4856344.993681337, -9236005.46242035 4856344.993681337, -9236005.46242035 4856359.993681337, -9235995.46242035 4856359.993681337, -9235995.46242035 4856344.993681337, -9236005.46242035 4856344.993681337, -9235980.46242035 4856344.993681337, -9235980.46242035 4856374.993681337))",90000,4,3,2
262,"POLYGON ((-9236027.710065521 4856232.892821559, -9236047.710065521 4856252.892821559, -9236067.710065521 4856232.892821559, -9236027.710065521 4856232.892821559, -9236067.710065521 4856232.892821559, -9236067.710065521 4856202.892821559, -9236052.710065521 4856202.892821559, -9236052.710065521 4856217.892821559, -9236042.710065521 4856217.892821559, -9236042.710065521 4856202.892821559, -9236052.710065521 4856202.892821559, -9236027.710065521 4856202.892821559, -9236027.710065521 4856232.892821559))",57000,2,0,2
